StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Consent,g-c,i-c_9,k-c_9,i2-c_9,k2-c_9,g-g,i-g_10,k-g_10,i2-g_10,k2-g_10,Gender
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"We invite you to participate in a scientific experiment. Participation requires that you give your informed consent. Before proceeding, please consider the following information: 
The study task consists in following the steps and answering some questions about the your state. The study will take about 5 minutes to complete. 
There are no risks or benefits of any kind involved in this study. 
Your individual privacy will be maintained in all published and written data resulting from the study. 
Participation in this research study is voluntary. 
At any point, you may refuse to participate further without penalty. 
By ticking the box below, and proceeding to the study task you certify that you have read this form, and agreed to participate in accordance with the above conditions.",Which one of the gift collections will you buy for Camella?,How excited will Camella be about her gift?,How excited will Camella be about her gift?,How excited will Camella be about her gift?,How excited will Camella be about her gift?,Which one of the gift collections will you buy for Gabriel?,How excited will Gabriel be about his gift?,How excited will Gabriel be about his gift?,How excited will Gabriel be about his gift?,How excited will Gabriel be about his gift?,Please specify your gender
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID4""}","{""ImportId"":""QID32""}","{""ImportId"":""QID50_9""}","{""ImportId"":""QID51_9""}","{""ImportId"":""QID70_9""}","{""ImportId"":""QID72_9""}","{""ImportId"":""QID38""}","{""ImportId"":""QID53_10""}","{""ImportId"":""QID55_10""}","{""ImportId"":""QID66_10""}","{""ImportId"":""QID68_10""}","{""ImportId"":""QID5""}"
2022-01-14 08:13:01,2022-01-14 08:15:36,IP Address,197.230.144.82,100,154,True,2022-01-14 08:15:36,R_09vak7gz6y1M08N,,,,,34.26190185546875,-6.5821075439453125,anonymous,EN,"Yes, I consent",Option 2: Pink Floyd rock-style collection,,8,,,,,,,,Female
2022-01-14 08:24:06,2022-01-14 08:26:16,IP Address,160.177.67.237,100,130,True,2022-01-14 08:26:16,R_xfs59M6PhohhfwJ,,,,,34.03680419921875,-5.00079345703125,anonymous,EN,"Yes, I consent",,,,,,Option 2: The Van Gogh & Marcus Aurelius collection,,3,,,Male
2022-01-14 08:23:21,2022-01-14 08:26:17,IP Address,196.200.180.26,100,175,True,2022-01-14 08:26:17,R_3G9ESjop6kSNZr2,,,,,33.592193603515625,-7.6183929443359375,anonymous,EN,"Yes, I consent",,,,,,Option 2: The Van Gogh & Marcus Aurelius collection,,9,,,Male
2022-01-14 08:34:26,2022-01-14 08:36:05,IP Address,197.230.122.199,100,99,True,2022-01-14 08:36:06,R_1jiT3WE8Z9i55Z7,,,,,32.2378997802734375,-7.94970703125,anonymous,EN,"Yes, I consent",Option 2: Pink Floyd rock-style collection,8,,,,,,,,,Male
2022-01-14 08:40:15,2022-01-14 08:42:58,IP Address,196.127.19.88,100,163,True,2022-01-14 08:43:00,R_1gSbL5WamRBL7AY,,,,,33.592193603515625,-7.6183929443359375,anonymous,EN,"Yes, I consent",,,,,,Option 2: The Van Gogh & Marcus Aurelius collection,9,,,,Male
2022-01-14 08:52:55,2022-01-14 08:54:05,IP Address,196.200.180.26,100,69,True,2022-01-14 08:54:05,R_1QAdOyOxXTzbqph,,,,,33.592193603515625,-7.6183929443359375,anonymous,EN,"Yes, I consent",Option 1: Standard rock-style collection,,,,7,,,,,,Female
2022-01-14 09:09:20,2022-01-14 09:12:17,IP Address,196.64.162.169,100,177,True,2022-01-14 09:12:17,R_06bNAmdzQiyqZ3P,,,,,31.6298065185546875,-8.010101318359375,anonymous,EN,"Yes, I consent",Option 2: Pink Floyd rock-style collection,9,,,,,,,,,Female
2022-01-14 09:11:45,2022-01-14 09:14:01,IP Address,196.200.180.28,100,136,True,2022-01-14 09:14:01,R_1rvn5pDo0KKQNBG,,,,,33.592193603515625,-7.6183929443359375,anonymous,EN,"Yes, I consent",Option 1: Standard rock-style collection,,,8,,,,,,,Male
