pid,YR1001,nat,H00109,H00110,H99010,sex,birth_yr,no_children,no_people,emp_status,garden,sugar,animals
21447,2000,DEU,2500,0,100,1,1984,0,1,3,2,100,0
21447,2001,DEU,2500,0,100,1,1984,0,1,3,2,100,0
21447,2002,DEU,2750,0,100,1,1984,0,1,3,2,100,1
21447,2003,DEU,2750,0,100,1,1984,0,1,3,2,100,1
21447,2004,DEU,2750,0,100,1,1984,0,1,3,2,100,1
21447,2005,DEU,2750,0,100,1,1984,0,1,3,2,100,1
21447,2006,DEU,2750,0,100,1,1984,0,1,3,2,100,1
21447,2007,DEU,2750,0,100,1,1984,0,1,3,2,100,1
21447,2008,DEU,500,100,0,1,1984,0,1,3,2,100,1
21447,2009,DEU,2000,100,0,1,1984,0,1,3,4,100,1
21447,2010,DEU,2500,100,0,1,1984,0,1,3,4,100,1
21447,2011,DEU,2500,0,150,1,1984,0,1,3,4,100,1
21447,2012,DEU,3000,0,150,1,1984,0,1,3,4,100,1
21447,2013,DEU,3000,0,150,1,1984,0,1,3,4,100,1
21447,2014,DEU,3200,0,150,1,1984,0,1,3,4,100,1
21447,2015,DEU,3200,0,150,1,1983,0,1,3,4,100,1
25331,2000,GBR,1500,0,0,1,1980,0,1,3,2,200,0
25331,2001,GBR,1500,0,0,1,1980,0,1,3,2,200,0
25331,2002,GBR,1500,0,0,1,1980,0,1,3,2,200,0
25331,2003,GBR,2000,0,0,1,1980,0,1,3,2,200,0
25331,2004,GBR,2000,0,0,1,1980,0,1,3,2,200,0
25331,2005,GBR,2000,0,0,1,1980,0,1,3,2,200,0
25331,2006,GBR,2000,0,0,1,1980,0,1,3,2,200,0
25331,2007,GBR,1500,0,0,1,1980,0,1,3,2,200,0
25331,2008,GBR,50,500,0,1,1980,0,1,3,2,200,0
25331,2009,GBR,50,1000,0,1,1980,0,1,3,4,200,0
25331,2010,GBR,1500,0,0,1,1980,0,1,3,4,200,0
25331,2011,GBR,2000,0,0,1,1980,0,1,3,4,200,0
25331,2012,GBR,2000,0,0,1,1980,0,1,3,4,200,0
25331,2013,GBR,2250,0,50,1,1980,0,1,3,4,200,0
25331,2014,GBR,2250,0,50,1,1980,0,1,3,4,200,0
25331,2015,GBR,2500,0,50,1,1980,0,1,3,4,200,0
31155,2000,BEL,3000,0,250,0,1980,2,4,4,1,50,2
31155,2001,BEL,3000,0,250,0,1965,2,4,4,1,50,2
31155,2002,BEL,3000,0,250,0,1965,2,4,4,1,50,2
31155,2003,BEL,3000,0,250,0,1965,2,4,4,1,50,2
31155,2004,BEL,3000,0,250,0,1965,2,4,4,1,50,2
31155,2005,BEL,3000,0,250,0,1965,2,4,4,1,50,2
31155,2006,BEL,3000,0,250,0,1965,2,4,4,1,50,2
31155,2007,BEL,3000,0,250,0,1965,2,4,4,1,50,2
31155,2008,BEL,3000,0,250,0,1965,2,4,4,1,50,2
31155,2009,BEL,3500,0,250,0,1965,2,4,4,1,50,2
31155,2010,BEL,3500,0,250,0,1965,2,4,4,1,50,2
31155,2011,BEL,3500,0,250,0,1965,2,4,4,1,50,2
31155,2012,BEL,3500,0,250,0,1965,2,4,4,1,50,2
31155,2013,BEL,3500,0,250,0,1965,2,4,4,1,50,2
31155,2014,BEL,3500,0,250,0,1965,2,4,4,1,50,2
